f_MHz,S11_dB,S21_dB,centre_current_ratio_real,centre_current_ratio_imag,matched_ZT_error_dB,matched_ZT_phase_error_deg,input_current_ZT_error_dB,input_current_ZT_phase_error_deg,lossless_power_residual,centre_forward_backward_residual_A
0.1,-75.60393547698703,-1.195062927375077e-07,0.9999999706089888,-0.00017330296174269974,-1.248514345972286e-07,-0.009929528477405202,1.6035425338800782e-08,-0.00042510320353104437,2.220446049250313e-16,3.469446977803008e-18
1,-55.603948045207844,-1.195061084166871e-05,0.9999970609073838,-0.001733024648363185,-1.2485125101779964e-05,-0.0992951905740241,1.6035429003636738e-06,-0.004251033243907232,0.0,6.776263578034403e-21
10,-35.605204684405486,-0.0011948780560883832,0.9997061755887,-0.0173252788689261,-0.0012483295809309258,-0.9928577221978552,0.00016035577256674267,-0.04251154106159308,2.220446049250313e-16,3.469446951953614e-18
30,-26.072920986247293,-0.01074061458592879,0.9973617350880152,-0.05185572460573698,-0.011221685497858189,-2.9762935156967236,0.0014433097877985792,-0.12756392874004419,0.0,2.168404344971009e-19
50,-21.656158308929292,-0.029761561161831613,0.9927054419604203,-0.08602861736184429,-0.031097909188426212,-4.952922106688617,0.004009793101206947,-0.21270428307843756,0.0,3.496446946337351e-18
100,-15.729074581013911,-0.11769233540980875,0.9714420126546229,-0.16842597711092347,-0.12303847653760827,-9.836008648333298,0.016050419985618212,-0.4263266140184009,0.0,0.0
200,-10.06369352832846,-0.4505551663710377,0.8947197535551217,-0.3106479382487983,-0.4719517274844543,-19.14707205410371,0.0643824168867613,-0.8600567606132499,0.0,8.673617379884035e-19
300,-7.076333619973419,-0.9477090957765522,0.7904831149150696,-0.41257190682928924,-0.995896443844934,-27.561125265079728,0.14554446571897203,-1.308914895684687,2.220446049250313e-16,1.734723475976807e-18
500,-4.009811199277448,-2.1983310867553847,0.5750733229102502,-0.5037185652109737,-2.3325879004787136,-41.215785388028145,0.4105204413063124,-2.286662799181639,0.0,2.4532694666933987e-18
